,episode,a3c_reward
0,0.0,6.0
1,1.0,6.05
2,2.0,6.1194999999999995
3,3.0,6.1583049999999995
4,4.0,6.336721949999999
5,5.0,6.533354730499999
6,6.0,6.618021183194999
7,7.0,6.601840971363049
8,8.0,6.9358225616494185
9,9.0,7.086464336032924
10,10.0,7.065599692672594
11,11.0,7.504943695745867
12,12.0,7.9298942587884085
13,13.0,7.960595316200525
14,14.0,7.95098936303852
15,15.0,7.941479469408135
16,16.0,7.902064674714054
17,17.0,7.963044027966912
18,18.0,8.143413587687244
19,19.0,8.50197945181037
20,20.0,8.676959657292267
21,21.0,8.760190060719344
22,22.0,9.04258816011215
23,23.0,9.072162278511028
24,24.0,9.371440655725918
25,25.0,9.387726249168658
26,26.0,9.553848986676972
27,27.0,9.588310496810202
28,28.0,9.532427391842099
29,29.0,9.647103117923677
30,30.0,9.59063208674444
31,31.0,9.904725765876996
32,32.0,10.305678508218227
33,33.0,10.532621723136044
34,34.0,11.007295505904684
35,35.0,11.137222550845637
36,36.0,11.365850325337181
37,37.0,11.46219182208381
38,38.0,11.537569903862972
39,39.0,11.722194204824342
40,40.0,11.9549722627761
41,41.0,12.135422540148339
42,42.0,12.184068314746854
43,43.0,12.332227631599386
44,44.0,12.618905355283392
45,45.0,12.612716301730558
46,46.0,12.746589138713253
47,47.0,13.23912324732612
48,48.0,13.516732014852858
49,49.0,13.621564694704329
50,50.0,13.585349047757285
51,51.0,13.659495557279714
52,52.0,13.612900601706917
53,53.0,13.966771595689847
54,54.0,13.927103879732948
55,55.0,14.12783284093562
56,56.0,14.676554512526263
57,57.0,14.929788967401
58,58.0,15.48049107772699
59,59.0,15.46568616694972
60,60.0,16.53102930528022
61,61.0,16.75571901222742
62,62.0,17.118161822105147
63,63.0,17.106980203884095
64,64.0,17.165910401845256
65,65.0,17.484251297826802
66,66.0,17.66940878484853
67,67.0,17.612714697000047
68,68.0,17.706587550030047
69,69.0,18.459521674529746
70,70.0,18.53492645778445
71,71.0,18.569577193206605
72,72.0,18.523881421274538
73,73.0,18.758642607061795
74,74.0,18.791056180991177
75,75.0,18.883145619181267
76,76.0,19.244314162989454
77,77.0,20.33187102135956
78,78.0,20.588552311145968
79,79.0,20.97266678803451
80,80.0,21.022940120154164
81,81.0,21.172710718952622
82,82.0,21.330983611763095
83,83.0,21.187673775645465
84,84.0,21.445797037889008
85,85.0,21.431339067510116
86,86.0,21.947025676835015
87,87.0,22.077555420066666
88,88.0,22.086779865866
89,89.0,22.51591206720734
90,90.0,22.390752946535265
91,91.0,22.45684541706991
92,92.0,22.59227696289921
93,93.0,22.666354193270216
94,94.0,23.249690651337513
95,95.0,23.397193744824136
96,96.0,23.473221807375893
97,97.0,23.878489589302134
98,98.0,23.939704693409112
99,99.0,24.51030764647502
100,100.0,24.74520457001027
101,101.0,24.767752524310165
102,102.0,25.220074999067062
103,103.0,25.317874249076393
104,104.0,25.34469550658563
105,105.0,25.841248551519772
106,106.0,26.222836066004575
107,107.0,26.48060770534453
108,108.0,26.585801628291083
109,109.0,27.349943612008172
110,110.0,27.726444175888087
111,111.0,28.509179734129205
112,112.0,29.384087936787914
113,113.0,29.370247057420034
114,114.0,31.006544586845834
115,115.0,31.876479140977374
116,116.0,32.487714349567604
117,117.0,33.19283720607193
118,118.0,33.400908834011204
119,119.0,33.486899745671096
120,120.0,35.082030748214386
121,121.0,36.26121044073224
122,122.0,36.648598336324916
123,123.0,37.73211235296167
124,124.0,38.06479122943205
125,125.0,38.634143317137735
126,126.0,39.37780188396636
127,127.0,39.7840238651267
128,128.0,39.65618362647543
129,129.0,40.27962179021068
130,130.0,40.816825572308574
131,131.0,41.08865731658549
132,132.0,41.257770743419634
133,133.0,41.27519303598544
134,134.0,41.652441105625584
135,135.0,43.26591669456933
136,136.0,43.483257527623635
137,137.0,44.088424952347395
138,138.0,44.88754070282393
139,139.0,45.338665295795685
140,140.0,45.675278642837725
141,141.0,46.22852585640935
142,142.0,46.89624059784526
143,143.0,46.6872781918668
144,144.0,47.67040540994814
145,145.0,48.50370135584866
146,146.0,49.56866434229017
147,147.0,51.42297769886727
148,148.0,51.1687479218786
149,149.0,51.45706044265981
150,150.0,51.68248983823321
151,151.0,52.01566493985088
152,152.0,53.05550829045237
153,153.0,54.57495320754784
154,154.0,54.27920367547237
155,155.0,55.576411638717644
156,156.0,55.87064752233047
157,157.0,56.75194104710717
158,158.0,57.8844216366361
159,159.0,58.29557742026974
160,160.0,58.60262164606704
161,161.0,58.14659542960637
162,162.0,58.225129475310304
163,163.0,58.652878180557195
164,164.0,59.386349398751626
165,165.0,59.38248590476411
166,166.0,59.62866104571647
167,167.0,59.67237443525931
168,168.0,59.815650690906715
169,169.0,59.887494183997646
170,170.0,60.348619242157675
171,171.0,61.075133049736095
172,172.0,62.92438171923874
173,173.0,64.47513790204636
174,174.0,66.2603865230259
175,175.0,66.88778265779565
176,176.0,67.6789048312177
177,177.0,69.61211578290552
178,178.0,73.19599462507647
179,179.0,74.03403467882569
180,180.0,74.99369433203744
181,181.0,75.99375738871706
182,182.0,76.40381981482989
183,183.0,77.35978161668159
184,184.0,78.05618380051477
185,185.0,78.68562196250963
186,186.0,79.54876574288454
187,187.0,81.49327808545569
188,188.0,82.81834530460112
189,189.0,83.73016185155511
190,190.0,83.24286023303955
191,191.0,83.75043163070916
192,192.0,85.46292731440207
193,193.0,87.72829804125804
194,194.0,88.89101506084546
195,195.0,91.82210491023702
196,196.0,92.89388386113464
197,197.0,94.3049450225233
198,198.0,95.84189557229807
199,199.0,96.51347661657509
200,200.0,97.89834185040934
201,201.0,98.88935843190524
202,202.0,99.20046484758618
203,203.0,99.61846019911032
204,204.0,100.10227559711922
205,205.0,100.70125284114802
206,206.0,101.82424031273653
207,207.0,103.78599790960918
208,208.0,104.30813793051308
209,209.0,104.86505655120794
210,210.0,106.81640598569587
211,211.0,108.96824192583891
212,212.0,111.32855950658052
213,213.0,111.89527391151472
214,214.0,111.92632117239958
215,215.0,112.70705796067558
216,216.0,115.19998738106884
217,217.0,114.47798750725815
218,218.0,114.70320763218557
219,219.0,115.0761755558637
220,220.0,114.72541380030506
221,221.0,114.03815966230201
222,222.0,115.41777806567899
223,223.0,115.58360028502219
224,224.0,115.85776428217197
225,225.0,115.60918663935024
226,226.0,115.78309477295673
227,227.0,114.97526382522716
228,228.0,116.06551118697489
229,229.0,116.41485607510515
230,230.0,116.10070751435408
231,231.0,116.80970043921054
232,232.0,116.70160343481844
233,233.0,115.68458740047026
234,234.0,116.32774152646556
235,235.0,117.8744641112009
236,236.0,118.61571947008889
237,237.0,120.679562275388
238,238.0,120.8027666526341
239,239.0,121.91473898610775
240,240.0,123.34559159624668
241,241.0,122.98213568028422
242,242.0,123.21231432348137
243,243.0,124.27019118024656
244,244.0,125.07748926844408
245,245.0,127.27671437575964
246,246.0,126.67394723200205
247,247.0,125.68720775968202
248,248.0,125.2603356820852
249,249.0,126.03773232526434
250,250.0,126.92735500201171
251,251.0,126.98808145199159
252,252.0,127.49820063747167
253,253.0,127.87321863109696
254,254.0,127.41448644478598
255,255.0,128.8003415803381
256,256.0,130.6823381645347
257,257.0,131.17551478288937
258,258.0,131.04375963506047
259,259.0,132.77332203870986
260,260.0,134.12558881832277
261,261.0,136.78433293013953
262,262.0,138.09648960083814
263,263.0,140.69552470482975
264,264.0,139.41856945778144
265,265.0,140.3143837632036
266,266.0,141.13123992557158
267,267.0,144.10992752631586
268,268.0,145.4188282510527
269,269.0,145.54463996854219
270,270.0,144.21919356885675
271,271.0,146.5670016331682
272,272.0,146.71133161683653
273,273.0,146.94421830066815
274,274.0,146.44477611766146
275,275.0,146.74032835648484
276,276.0,147.06292507291997
277,277.0,146.47229582219077
278,278.0,145.37757286396888
279,279.0,145.1937971353292
280,280.0,144.9518591639759
281,281.0,143.60234057233615
282,282.0,142.55631716661276
283,283.0,141.37075399494663
284,284.0,142.10704645499717
285,285.0,141.2959759904472
286,286.0,140.16301623054272
287,287.0,139.6913860682373
288,288.0,138.45447220755494
289,289.0,138.5599274854794
290,290.0,138.4143282106246
291,291.0,137.23018492851836
292,292.0,137.50788307923318
293,293.0,136.35280424844083
294,294.0,135.96927620595642
295,295.0,134.80958344389686
296,296.0,133.8314876094579
297,297.0,133.9031727333633
298,298.0,134.15414100602968
299,299.0,135.07259959596936
300,300.0,135.24187360000968
301,301.0,135.77945486400958
302,302.0,136.1016603153695
303,303.0,134.8906437122158
304,304.0,135.0217372750936
305,305.0,134.45151990234268
306,306.0,135.13700470331926
307,307.0,135.23563465628607
308,308.0,137.62327830972322
309,309.0,138.357045526626
310,310.0,137.18347507135974
311,311.0,137.96164032064615
312,312.0,139.1620239174397
313,313.0,141.00040367826531
314,314.0,143.89039964148267
315,315.0,144.47149564506785
316,316.0,145.17678068861719
317,317.0,144.885012881731
318,318.0,145.1961627529137
319,319.0,146.20420112538457
320,320.0,147.3121591141307
321,321.0,148.3290375229894
322,322.0,148.2557471477595
323,323.0,149.9931896762819
324,324.0,151.69325777951906
325,325.0,154.74632520172386
326,326.0,157.9788619497066
327,327.0,157.39907333020955
328,328.0,157.80508259690743
329,329.0,160.82703177093833
330,330.0,161.34876145322895
331,331.0,161.00527383869667
332,332.0,161.0552211003097
333,333.0,160.86466888930659
334,334.0,163.37602220041353
335,335.0,162.5422619784094
336,336.0,163.71683935862532
337,337.0,165.11967096503906
338,338.0,165.71847425538868
339,339.0,167.9412895128348
340,340.0,169.76187661770646
